D,E,F
164.27,195.1,-20.44
167.64,189.18,-14.29
171.71,182.17,-6.94
176.25,176.59,-0.22
181.01,172.87,5.42
185.7,170.06,10.39
190.07,168.03,14.64
193.87,166.71,18.04
196.89,166.04,20.48
198.94,165.64,22.11
199.92,165.1,23.12
199.77,164.65,23.32
198.5,168.34,20.02
196.18,170.4,17.12
192.94,173.91,12.64
188.97,179.81,6.1
199.49,186.28,8.78
194.75,190.18,3.07
190.03,193.73,-2.43
185.59,198.38,-8.46
181.68,201.97,-13.43
178.53,203.18,-16.32
176.31,204.61,-18.74
175.16,205.37,-20.01
175.13,205.78,-20.3
176.23,205.87,-19.64
178.39,205.96,-18.26
181.49,204.74,-15.39
185.36,201.42,-10.62
189.78,197.35,-5.02
194.5,191.82,1.79
199.24,187.31,7.92
203.74,183.1,13.7
207.75,180.08,18.37
211.03,178.54,21.56
213.4,177.64,23.73
214.73,177.86,24.47
214.94,180.11,23.11
214.02,183.81,20.05
212.02,188.49,15.62
209.05,191.73,11.5
205.29,197.68,5.08
200.94,202.94,-1.3
196.26,208.42,-8.04
191.5,212.86,-14.14
186.94,216.21,-19.38
182.84,218.16,-23.4
179.43,219.16,-26.32
176.9,219.78,-28.41
175.4,219.98,-29.54
175.01,219.56,-29.52
175.76,217.12,-27.4
177.6,213.23,-23.61
180.42,207.43,-17.89
184.07,201.09,-11.26
188.34,193.57,-3.45
192.99,187.05,3.97
197.76,180.91,11.2
202.36,176.37,17.27
206.55,173.32,22.07
210.09,171.7,25.49
212.76,170.71,27.92
214.43,170.19,29.38
215,170.72,29.39
214.43,173.47,27.19
212.76,179.16,22.31
210.09,185.89,16.08
206.55,190.71,10.54
202.36,197.42,3.32
197.76,203.42,-3.73
192.99,208.76,-10.43
188.34,213.37,-16.57
184.07,216.03,-21.17
180.42,217.49,-24.56
177.6,218.27,-26.95
175.76,218.52,-28.34
175.01,218.62,-28.89
175.4,216.9,-27.5
176.9,213.78,-24.43
179.43,208.42,-19.2
182.84,202.19,-12.81
186.94,194.44,-4.97
191.5,187.73,2.52
196.26,181.39,9.87
200.94,176.13,16.47
205.29,173.28,21.25
209.05,171.64,24.83
212.02,170.84,27.33
214.02,170.3,29.02
214.94,170.13,29.74
214.73,173.07,27.65
213.4,178.01,23.49
211.03,185.31,17.07
207.75,189.87,11.88
203.74,196.73,4.69
199.24,202.56,-2.18
194.5,208.34,-9.15
189.78,213.22,-15.52
185.36,216.49,-20.61
181.49,218.15,-24.28
178.39,219.11,-26.98
176.23,219.59,-28.73
175.13,219.47,-29.38
175.16,219.37,-29.3
176.31,217.8,-27.49
178.53,214.29,-23.69
181.68,208.73,-17.91
185.59,202.4,-11.13
190.03,194.93,-3.24
194.75,188.64,4.08
199.49,182.99,10.97
203.97,178.29,17.06
207.94,175.54,21.52
211.18,174.16,24.59
213.5,173.42,26.62
214.77,173.8,27.2
214.92,175.77,26.0
213.94,179.53,22.85
211.89,186.21,17.06
208.87,190.43,12.26
205.07,196.53,5.72
200.7,201.92,-0.76
181.01,207.79,-17.72
176.25,212.85,-24.22
171.71,216.29,-29.51
167.64,218.2,-33.48
164.27,219.14,-36.34
161.8,219.61,-38.29
160.35,219.81,-39.38
160.03,218.2,-38.53
160.83,214.42,-35.49
162.72,208.06,-30.02
165.59,201.19,-23.55
169.28,193.0,-15.68
173.58,184.62,-7.27
178.24,177.81,0.34
183,173.44,6.4
187.6,170.37,11.48
191.76,167.99,15.81
195.25,166.27,19.27
197.88,165.44,21.57
199.49,165.36,22.69
200,164.95,23.3
199.37,164.45,23.22
197.65,164.14,22.28
194.92,165.61,19.49
191.35,167.5,15.86
187.13,170.98,10.76
182.51,179.68,1.94
177.74,185.67,-5.22
173.11,189.49,-10.82
168.86,192.91,-15.91
165.25,196.42,-20.64
162.47,197.89,-23.45
160.69,198.75,-25.2
160.01,199.5,-26.15
160.45,199.44,-25.82
162.01,196.91,-23.11
164.59,191.55,-17.84
168.04,186.1,-11.94
172.17,179.79,-5.03
176.75,174.62,1.44
181.51,172.23,6.18
186.18,169.72,10.94
190.5,167.98,14.96
194.23,167.0,18.08
197.15,166.85,20.12
199.1,166.32,21.76
199.96,166.04,22.52
199.69,165.31,22.82
198.3,167.92,20.17
195.88,170.13,17.1
192.55,173.77,12.48
188.52,180.31,5.49
183.99,186.62,-1.71
179.25,190.44,-7.39
174.54,195.19,-13.66
170.15,198.46,-18.74
166.31,200.7,-22.77
163.25,201.85,-25.56
161.14,202.5,-27.39
160.1,202.89,-28.34
160.19,202.61,-28.1
161.4,199.63,-25.31
163.67,194.14,-20.17
166.87,188.14,-14.07
170.81,181.57,-7.1
175.27,176.1,-0.52
180,172.57,4.99
184.73,170.56,9.45
189.19,169.0,13.45
193.13,168.16,16.62
196.33,166.98,19.52
198.6,167.05,20.98
199.81,167.08,21.76
199.9,167.18,21.76
198.86,167.81,20.65
196.75,170.56,17.42
193.69,173.55,13.41
189.85,181.01,5.92
185.46,186.79,-0.83
180.75,191.23,-6.9
176.01,196.96,-13.85
171.48,201.21,-19.66
167.45,203.68,-23.98
164.12,204.96,-27.03
161.7,205.64,-29.09
160.31,206.0,-30.25
160.04,206.15,-30.53
160.9,203.41,-28.14
162.85,198.91,-23.86
165.77,192.36,-17.58
169.5,185.14,-10.32
173.82,178.66,-3.17
178.49,174.34,2.8
183.25,171.47,7.87
187.83,169.23,12.38
191.96,167.47,16.29
195.41,166.57,19.18
197.99,166.09,21.21
199.55,165.75,22.47
199.99,165.16,23.15
199.31,164.72,22.99
197.53,168.26,19.46
194.75,170.8,15.93
191.14,174.29,11.22
186.89,180.63,4.22
182.26,186.83,-2.98
177.49,190.56,-8.61
172.87,193.28,-13.48
168.65,196.62,-18.49
165.08,198.44,-22.07
162.35,199.37,-24.5
160.63,199.83,-25.94
160,200.11,-26.55
160.51,198.42,-25.09
162.12,194.19,-21.22
164.75,188.66,-15.8
168.24,181.97,-9.05
172.4,176.23,-2.49
177,172.39,3.11
181.76,169.85,7.95
186.42,167.96,12.3
190.72,166.79,15.93
194.41,166.29,18.71
197.28,166.06,20.76
199.17,165.98,22.07
199.97,166.23,22.44
199.65,165.86,22.46
198.2,167.84,20.19
195.73,170.58,16.73
192.36,174.09,12.17
188.29,180.73,5.09
183.75,186.81,-1.96
178.99,190.58,-7.61
